start_node,end_node,length,osmid,oneway,lanes,name,highway,width,reversed,geometry,maxspeed,bridge,tunnel
1419645372,1419645378,107.871,128463453,True,,Travessa da Carvalhosa,living_street,,False,"LINESTRING (-8.6205918 41.1548093, -8.6205782 41.1549131, -8.6196904 41.1552782, -8.6195651 41.1553223)",,,
1419645378,137982795,42.734,34627575,True,3,Rua Sacadura Cabral,secondary,4,False,"LINESTRING (-8.6195651 41.1553223, -8.6192058 41.1552585, -8.6190683 41.1552341)",,,
1548554599,444011318,149.436,37856053,False,2,Rua do Arquitecto Lobão Vital,residential,,True,"LINESTRING (-8.6059768 41.1759212, -8.6058122 41.1757149, -8.6057512 41.1755597, -8.6057365 41.1752078, -8.6057675 41.17498, -8.6057717 41.1749494, -8.6058055 41.1746208)",,,
1548554599,412246602,189.388,455315148,False,2,Rua da Asprela,residential,,False,"LINESTRING (-8.6059768 41.1759212, -8.6058991 41.1759271, -8.6054983 41.176086, -8.6054008 41.1761143, -8.6053367 41.1761328, -8.6053075 41.1761413, -8.6051739 41.1761535, -8.6050719 41.1761628, -8.6050119 41.1761646, -8.6048954 41.1761682, -8.6048665 41.1761691, -8.6045828 41.1761778, -8.6042964 41.1761866, -8.6041433 41.1761914, -8.6041305 41.1761979, -8.6041086 41.1762091, -8.6040894 41.1762311, -8.604074 41.176256, -8.6040682 41.1762852, -8.6040545 41.1763112, -8.6040332 41.1763315, -8.6040137 41.1763443, -8.603995 41.1763566, -8.6039188 41.1763862)",,,
1788786316,128673223,62.057,482261341,False,3,Rua do Campo Alegre,secondary,,True,"LINESTRING (-8.6313575 41.1526165, -8.6309917 41.1526006, -8.6308449 41.1525937, -8.630785 41.152591, -8.6306176 41.1525836)",,,
1788787056,5284368076,34.669000000000004,211342286,True,,Praça da República,tertiary,,False,"LINESTRING (-8.6120012 41.154924, -8.6119945 41.1550216, -8.6119771 41.1551231, -8.6119399 41.1551879, -8.6119092 41.1552219)",,,
3554953651,444011318,5.522,37856053,False,2,Rua do Arquitecto Lobão Vital,residential,,False,,,,
3554953651,411506246,34.053,37856053,False,2,Rua do Arquitecto Lobão Vital,residential,,True,"LINESTRING (-8.6057913 41.1745723, -8.6060095 41.1744053, -8.6060761 41.1743536)",,,
3896082259,425725651,98.693,1016388207,True,3,Rua de Faria Guimarães,secondary,,False,"LINESTRING (-8.6065132 41.1634965, -8.6062704 41.1642493, -8.6062487 41.164361)",,,
4087312908,128597080,5.711,1167578694,False,3,Rua da Igreja de Paranhos,secondary,,False,,,,
4087312908,411504969,20.724,34774629,False,3,Rua da Igreja de Paranhos,secondary,,True,"LINESTRING (-8.6058348 41.1736612, -8.6058524 41.1737319, -8.6058855 41.1738436)",,,
4523960189,432578781,76.754,704870100,False,3,Rua do Doutor Roberto Frias,secondary,,True,"LINESTRING (-8.5992641 41.1778975, -8.5993019 41.1778217, -8.5995986 41.1772548)",,,
4554424112,4554424124,54.655,39911832,False,,Via Panorâmica,tertiary,,True,,,,
4554424112,478927788,47.81,39896732,False,,,tertiary,,False,"LINESTRING (-8.6375675 41.1500306, -8.6374252 41.1499601, -8.637278 41.1499212, -8.6370336 41.1499125)",,,
4554424124,4554424112,54.655,39911832,False,,Via Panorâmica,tertiary,,False,,,,
4554424124,479183608,266.675,"[39911832, 1172312751]",False,3,Via Panorâmica,tertiary,,True,"LINESTRING (-8.6378645 41.1504683, -8.6379182 41.1505499, -8.6379372 41.1507059, -8.637919 41.1508124, -8.6377678 41.151342, -8.6376963 41.1516088, -8.6376893 41.1516416, -8.637665 41.1517925, -8.6376291 41.1520148, -8.6376117 41.1521188, -8.6375805 41.1523661, -8.6375494 41.1526991, -8.6375454 41.1527353, -8.6375345 41.1528317)",,,
4612022469,1419645372,29.485,1187730286,False,,Travessa da Carvalhosa,living_street,,False,,,,
4612022469,25632361,249.655,34683151,False,2,Rua de Aníbal Cunha,tertiary,,True,"LINESTRING (-8.6209435 41.154823, -8.6210452 41.1535866, -8.6210417 41.1534427, -8.6210314 41.1533685, -8.6210121 41.1533068, -8.6209837 41.1532264, -8.6208223 41.152769, -8.6207549 41.1526088)",,,
5284368076,129549662,153.611,8367093,True,,Rua da Regeneração,tertiary,,False,"LINESTRING (-8.6119092 41.1552219, -8.6119075 41.1553083, -8.611899 41.1557432, -8.6118744 41.1566031)",,,
5291538854,129548927,109.16799999999999,452076898,True,2,Rua do Paraíso,residential,4,False,"LINESTRING (-8.6112673 41.1570815, -8.611051 41.1571044, -8.6100497 41.1572448, -8.6099838 41.157254)",,,
5291598235,5291598250,119.32,547657333,True,2,Rua de Faria Guimarães,secondary,,False,"LINESTRING (-8.6055501 41.1700774, -8.6053097 41.1703785, -8.6049556 41.1708287, -8.6048199 41.170999)",,,
5291598240,128588858,103.869,"[480140401, 1197158158, 547657335]",True,1,Rua de Faria Guimarães,"['secondary_link', 'secondary']",,False,"LINESTRING (-8.6042647 41.1717002, -8.604214 41.1717635, -8.6041711 41.1718302, -8.6041469 41.1719079, -8.6041349 41.1719876, -8.6041362 41.1720583, -8.6041416 41.1721461, -8.6041561 41.1722016, -8.6041948 41.1723099, -8.6042659 41.1724391, -8.6043711 41.1725769)",,yes,
5291598250,5291598240,90.769,"[547657333, 547657334]",True,2,Rua de Faria Guimarães,secondary,,False,"LINESTRING (-8.6048199 41.170999, -8.6047934 41.1710316, -8.6043414 41.171602, -8.6042647 41.1717002)",,yes,
5865201851,3896082259,387.668,"[914265957, 100862814, 100862815]",True,2,Rua de Faria Guimarães,secondary,,False,"LINESTRING (-8.6078756 41.1601743, -8.6078204 41.1602203, -8.6075198 41.160862, -8.6068394 41.1624301, -8.6065132 41.1634965)",40,,yes
